id_licitacao,entidade,categoria,quantidade,preco_mercado,preco_estimado,preco_vencedor,numero_licitantes,bdi_percentual,numero_aditivos,historico_contratos,classe
LIC-2025-20000,Prefeitura Municipal de João Pessoa,Equipamento de Informática,10,2950.71,3087.62,2646.21,2,0.1558,1,2,Não Fraudulenta
LIC-2025-20001,Departamento Estadual de Trânsito de Minas Gerais,Serviço de Engenharia,100,203935.87,192203.0,184566.32,3,0.2025,0,0,Não Fraudulenta
LIC-2025-20002,Universidade Federal da Paraíba,Material de Escritório,20,34.23,32.81,33.78,4,0.17,0,1,Não Fraudulenta
LIC-2025-20003,Prefeitura Municipal de João Pessoa,Mobiliário,20,781.39,713.42,890.54,4,0.1805,0,1,Não Fraudulenta
LIC-2025-20004,Secretaria de Educação do Estado do Ceará,Equipamento de Informática,5,2495.18,2262.82,2314.61,4,0.1812,0,1,Não Fraudulenta
LIC-2025-20005,Prefeitura Municipal de São Paulo,Mobiliário,100,999.05,1086.87,1028.39,5,0.1588,0,0,Não Fraudulenta
LIC-2025-20006,Universidade Federal da Paraíba,Serviço de Engenharia,10,171984.76,164119.86,164593.89,3,0.2043,0,1,Não Fraudulenta
LIC-2025-20007,Prefeitura Municipal de São Paulo,Serviço de Engenharia,100,199601.62,187574.25,409656.21,2,0.4039,1,0,Fraudulenta
LIC-2025-20008,Secretaria de Educação do Estado do Ceará,Serviço de Engenharia,10,152342.57,163405.79,144614.14,2,0.1811,0,3,Não Fraudulenta
LIC-2025-20009,Governo do Estado de Pernambuco - Obras,Serviço de Limpeza,5,1736.48,1827.05,1877.64,3,0.2023,0,0,Não Fraudulenta
LIC-2025-20010,Prefeitura Municipal de São Paulo,Material de Escritório,5,32.5,33.39,32.58,5,0.1749,0,1,Não Fraudulenta
LIC-2025-20011,Secretaria de Educação do Estado do Ceará,Medicamento,5,91.59,85.38,100.06,4,0.2371,0,0,Não Fraudulenta
LIC-2025-20012,Departamento Estadual de Trânsito de Minas Gerais,Material de Escritório,50,40.63,43.13,38.41,2,0.1728,0,2,Não Fraudulenta
LIC-2025-20013,Universidade Federal da Paraíba,Medicamento,20,96.7,91.33,161.5,2,0.3349,1,4,Fraudulenta
LIC-2025-20014,Prefeitura Municipal de João Pessoa,Mobiliário,20,828.32,792.68,1563.58,1,0.2888,0,2,Fraudulenta
